filename,title,keywords,summary,creation_date,edit_time
05252020211350-hard-on-self.md,"Making Things Hard On Yourself, But In A Good Way: Creating Desirable Difficulties To Enhance Learning",##bibliography ##finish #performance #learning #forgetting #retrieval #strength #storage #generation #effect #archive,How increasing difficulties in learning can increase better long-term learning. Examples included.,2020-05-25T00:00:00.0,2022-12-29T18:47:02.375
05252020221842-digital-media.md,Underestimating Digital Media Harm,##bibliography #harm #depression #social #media #factors #mental #illness ##health #archive,Twenge's critique of modern day assessment of the negative impacts of social media on adolescents.,2020-05-25T00:00:00.0,2022-12-29T18:47:06.761
05252020222041-hebbian-theory.md,Hebbian Theory,##zettel ##finish #archive,An overview on what Hebbian Theory actually is,2020-05-25T00:00:00.0,2022-12-29T18:47:28.221
05282020163507-spacing-effect.md,Spacing Effect,##zettel #spacing #effect  #archive,A summary of the spacing effect,2020-05-28T00:00:00.0,2022-12-29T18:47:45.587
05282020164557-desirable-difficulties.md,"Making Things Hard On Yourself, But In A Good Way: Creating Desirable Difficulties To Enhance Learning",##bibliography ##finish #performance #storage #strength #difficulty #desirable #learning #archive,Practical discussion about how to introduce desirable learning difficulties into your learning patterns.,2020-05-28T00:00:00.0,2022-12-29T18:47:49.101
05282020172154-replication-ebbinghaus.md,Replication and Analysis of Ebbinghaus’ Forgetting Curve,##bibliography #archive,This is a replication study on the discovery of the forgetting curve as reported by Hermann Ebbinghaus in 1880.,2020-05-28T00:00:00.0,2022-12-29T20:42:42.865
06032020153234-householder-notation.md,Householder Notation,##zettel #linear #algebra #matrix #vector #scalar #greek #householder #notation #archive,Summary of how Householder notation works,2020-06-03T00:00:00.0,2022-12-29T18:50:06.283
06052020031214-brief-breaks.md,Brief And Rare Mental 'Breaks' Keep You Focused: Deactivation And Reactivation Of Task Goals Preempt Vigilance Decrements,##bibliography #breaks #vigilance #tasks #decrement #archive,How brief breaks can help you keep focused during long tasks,2020-06-05T00:00:00.0,2022-12-29T18:50:11.904
06072021202628-brfss-systematic-review.md,A Systematic Review of Publications Assessing Reliability and Validity of the Behavioral Risk Factor Surveillance System (BRFSS),#brfss #survey #reliability #validity #reports #archive,A systematic review to determine the reliability and validity of the BRFSS,2021-06-07T00:00:00.0,2022-12-29T18:50:17.529
06072021210734-mask-mandates-association.md,"Association of State-Issued Mask Mandates and Allowing On-Premises Restaurant Dining with County-Level COVID-19 Case and Death Growth Rates - United States, March 1 - December 31, 2020",#covid #growth #death #mask #mandates #policy #restaurants  #archive,How mask mandates could be correlated with on site dining and COVID death and growth rates,2021-06-07T00:00:00.0,2022-12-29T18:50:34.243
06072021214725-decline-hospitilizations-mask.md,"Decline in COVID-19 Hospitalization Growth Rates Associated with Statewide Mask Mandates — 10 States, March–October 2020",#hospitalization #covid #policy #mask #mandates #decrease #archive,How mask mandates were associated with decreases in COVID hospitalization growth rates,2021-06-07T00:00:00.0,2022-12-29T18:50:41.261
06082020234244-dempster-critique.md,A Case Study in the Failure to Apply the Results of Psychological Research,##bibliography #spacing #effect #critique #education #system #archive,A critique of possible reasons for why the Spacing Effect is not applied in American educational settings.,2020-06-08T00:00:00.0,2022-12-29T18:50:45.9
06082021141248-timing-community-mitigation.md,"Timing of Community Mitigation and Changes in Reported COVID-19 and Community Mobility - Four U.S. Metropolitan Areas, February 26 - April 1, 2020",#policy #mandate #community #mitigation #nonpharmaceutical #intervention #archive,,2021-06-08T00:00:00.0,2022-12-29T18:51:11.831
06082021203922-cuebiq-mobility-summary.md,Cuebiq Mobility Data Summary,#cuebiq #mobility #dataset #policy #index #cci #cmi  #archive,An overview of where Cuebiq mobility data comes from and a highlight of some of its key variables.,2021-06-08T00:00:00.0,2022-12-29T18:51:19.42
06172020134504-vector-algebra.md,Vector Algebra,##zettel #vector ##mathematics #linearalgebra #algebra #multiplication #addition #scalar #archive,The algebraic functions one can execute on a vector,2020-06-17T00:00:00.0,2022-12-29T18:51:26.101
06202020205907-digital-harm.md,Defining Digital Self-Harm,##bibliography #self #harm #online #digital #suicide #mentalhealth #archive,An overview on what is digital self harm,2020-07-08T00:00:00.0,2022-12-29T18:51:31.33
06252021233252-hadamard-division.md,Hadamard Division (Elementwise Division),#archive,,2021-06-25T00:00:00.0,2022-12-29T18:51:45.1
07062020233904-common-coronavirus.md,Information about Common Coronaviruses,##zettel #coronavirus #groups #common #archive,Information about common coronavirae,2020-07-06T00:00:00.0,2022-12-29T18:51:57.474
07062020234546-sars-coronavirus.md,SARS Coronavirae,##zettel #sars #coronavirus #different #archive,Unique characteristics of the SARS Coronvirae family,2020-07-06T00:00:00.0,2022-12-29T18:52:01.316
07082020155623-digital-self-harm.md,What is Digital Self-Harm,##zettel #harm #digital #non-suicidal #self #mentalhealth #illness #archive,Exploration of the idea of Digital Self-Harm,2020-07-08T00:00:00.0,2022-12-29T18:52:13.686
07082020161946-self-harm.md,What Is Self-Harm,##zettel #harm #self #suicide #mentalhealth #illness #hurting #pain ##summary #archive,Self-harm is a mental illness that results in causing pain or harm to oneself,2020-07-08T00:00:00.0,2022-12-29T18:52:17.781
07082020163004-ultralearning.md,Ultralearning,##bibliography #ultralearning #learning #framework #education #self #archive,A summary of what the ultralearning framework is,2020-07-12T00:00:00.0,2023-01-01T00:12:36.702
07102020174816-cytokine-asd-covid19.md,Hypothesis on Cytokine Dysregulation Worsened by COVID19 for People with ASD,##zettel #asd #autism ##hypothesis #health #mentalhealth #cytokine ##pandemic #covid19 #archive,Loose hypothesis on worsening of cytokine regulation via ASD and COVID19,2020-07-10T00:00:00.0,2022-12-29T18:56:33.604
07112020160049-covid-individuals-disability.md,COVID-19 and Pneumonia: Increased Risk for Individuals with Intellectual and Developmental Disabilities during the Pandemic,##bibliography #idd #intellectual #disability #developmental ##pandemic #risk #covid19 #archive,,2020-07-11T00:00:00.0,2022-12-29T18:56:44.287
07112020161337-social-determinants-health.md,Social Determinants of Health,##bibliography ##publichealth ##anthropology ##health #social #determinants #society #archive,The comprehensive inception of social determinants in healthcare and society,2020-07-11T00:00:00.0,2022-12-29T18:56:49.305
07112020165637-sars-cov-1.md,SARS-CoV-1,##zettel #sars #coronavirus #epidemic  #archive,,2020-07-11T00:00:00.0,2022-12-29T18:56:53.267
07122020043224-against-method.md,Against Method,##bibliography #education #philosophy #learning #archive #book,The use of anarchy as a philosophical approach to learning anything.,2020-07-12T00:00:00.0,2022-12-29T18:57:17.215
07122020164149-make-it-stick.md,Make It Stick: the Science of Successful Learning,##bibliography #learning #education #psychology #archive,How to not only remember things but to understand work,2020-07-12T00:00:00.0,2022-12-29T18:57:27.328
07122020172346-rest-best.md,Rest Is Best: The Role of Rest and Task Interruptions on Vigilance,##bibliography #vigilance #rest  #archive,How resting during vigilance tasks can actually improve focus long-term,2020-07-12T00:00:00.0,2022-12-29T18:57:30.887
07122020174529-indirect-self-harm.md,Indirect Self Harm,##zettel #self #harm #indirect #archive,Indirect self harm definition and associated examples,2020-07-12T00:00:00.0,2022-12-29T18:57:49.579
07122020185239-direct-self-harm.md,Direct Self-Harm,##zettel #direct #self #harm ##mentalhealth #illness #mental #archive,An overview of direct self harm and how it differs from other types of self-harming behaviors,2020-07-12T00:00:00.0,2022-12-29T18:57:53.405
07122020192840-suicide.md,Suicide,##zettel #suicide #mental #illness #death #archive,Defining and exploring what suicide is,2020-07-12T00:00:00.0,2022-12-29T18:58:14.592
07122020195122-sars-cov-treatments.md,Treatments for SARS-CoV,##zettel #treatment #SARS-CoV ##health #coronavirus  #archive,Known treatment methods for SARS-CoV,2020-07-12T00:00:00.0,2022-12-29T18:58:18.909
07132020022756-media-timothy.md,False Expertise,##zettel #social #media #polarization #knowledge #1timothy #archive,How Timothy speaks truth to today about false expertise abounding from social media,2020-07-12T00:00:00.0,2022-12-29T19:10:38.586
07132020185614-allostasis.md,What Is Allostasis?,##zettel #stress #fight #flight #response #archive,,2020-07-13T00:00:00.0,2022-12-29T19:19:09.565
07192020013500-trinetx-covid.md,TriNet,##zettel #covid19 ##pandemic #health #dataset #EMR #archive,An overview of what the TriNetX COVID-19 research platform is and how it works,2020-07-18T00:00:00.0,2022-12-29T19:19:30.621
07192020022823-intellectual-trinetx-analysis.md,Intellectual and Developmental Disability and COVID-19 Case-fatality Trends: TriNetX Analysis,##bibliography #covid19 ##pandemic #idd #intellectual #disability #archive,Intellectual and developmental disability and association with COVID-19 fatalities,2020-07-19T00:00:00.0,2022-12-29T19:19:56.589
07192020025408-intellectual-developmental-disability.md,Intellectual and Developmental Disability,##zettel #intellectual #developmental #disability #disability ##health #archive,What is Intellectual and Developmental Disability,2020-07-18T00:00:00.0,2022-12-29T19:20:07.506
07192020031136-covid-outcomes-disabilities.md,Covid-19 Outcomes Among People With Intellectual And Developmental Disability Living In Residential Group Homes In New York State,##bibliography #archive,Outcomes for individuals living with intellectual and developmental disabilities during the COVID-19 pandemic,2020-07-18T00:00:00.0,2022-12-29T19:20:30.458
07192020034934-asd-risk-factor.md,Could Autism Spectrum Disorders Be A Risk Factor For covid-19?,##bibliography #asd #autism #covid19 ##pandemic #archive,Autism Spectrum Disorders as a potential risk factor in COVID-19 outcomes,2020-07-18T00:00:00.0,2022-12-29T19:21:00.656
07222020181007-famous-quotes.md,Famous Quotes,#knowledge #quotes #archive,A collection of favorite quotes from books and people.,2020-07-22T00:00:00.0,2022-12-29T19:21:12.057
07282021174136-drug-approval.md,United States Drug Approval Process,#drug #approval #fda #food #drug #administration  #archive,How novel drugs are approved in the United States,2021-07-28T00:00:00.0,2022-12-29T19:21:17.068
07282021175202-fda-risk-prevention.md,FDA Amendment Act,#food #drug #administration #omop #act #congress #sentinel #initiative #archive,How the FDA addressed concerns about drug recalls,2021-07-28T00:00:00.0,2022-12-29T19:21:21.922
07282021181744-origins-omop.md,The Origins of the Observational Medical Outcomes Partnership (OMOP),#omop #medical #outcomes #partnership #observational #archive,The origins of the observational medical outcomes partnership,2021-07-28T00:00:00.0,2022-12-29T19:21:24.702
07282021184510-ohdsi-background.md,Observational Health Data Sciences and Informatics (OHDSI) Origins,#ohdsi #origins #archive,Origins of OHDSI initiative,2021-07-28T00:00:00.0,2022-12-29T19:21:27.394
07282021185354-ohdsi-goals.md,Goals of OHDSI,#ohdsi #goals #archive,The priorities and goals of OHDSI,2021-07-28T00:00:00.0,2022-12-29T19:21:30.719
07282021202459-exploring-ancestors-concept.md,Exploring Ancestors and Descendants of a Concept,#ohdsi #sql #ancestor #descendant #r  #archive,How to explore ancestors and descendants of OHDSI concepts,2021-07-28T00:00:00.0,2022-12-29T19:21:41.617
07282021211226-drug-concepts.md,Exploring Drug Concepts by Name,#ohdsi #sql #drug #name #r  #archive,How to explore drugs in an OHDSI table by name,2021-07-28T00:00:00.0,2022-12-29T19:21:44.528
08032021134232-notes-template.md,My Note Templates,#notes #template #archive #blog,The template I use for taking notes,2021-08-03T00:00:00.0,2022-12-30T06:49:25.309
08032021205910-establish-apcd.md,Tools for Improving Health Care Value Part 1: How States Establish an APCD and Make it Functional,#apcd #commonwealth #fund #transparency #recommendations  #archive,A summary paper detailing how to establish an All-Payers Claim Database with recommendations,2021-08-03T00:00:00.0,2022-12-29T19:22:13.333
08032021211415-apcd-recommendations.md,Recommendations for Creating a New All-Payers Claim Database,#apcd #recommendation #archive,Recommendations for Creating a New All-Payers Claim Database,2021-08-03T00:00:00.0,2022-12-29T19:22:17.754
08032021211753-virginia-apcd.md,Virginia All-Payers Claim Database,#apcd #virginia ##summary #archive,An overview of the Virginia All-Payers Claim Database,2021-08-03T00:00:00.0,2022-12-29T19:22:20.789
08052021202559-bundles-grouping.md,What Are Bundles or Groups?,#apcd #bundles #groups #groupers #definition #archive,Explaining what bundles or groups are in the context of All-Payer Claims Databases,2021-08-05T00:00:00.0,2022-12-29T19:22:34.607
08122022205622-assessing-phenotype-fairness.md,Assessing Phenotype Definitions for Algorithmic Fairness,##bibliography #phenotype #fairness #metrics #observational #health ##research #archive,A possible workflow for assessing fairness in the context of observational health studies,2022-08-12T00:00:00.0,2022-12-29T21:01:13.785
08192022115354-health-terrorism-factors.md,"Social Determinants of Health, Violent Radicalization, and Terrorism: A Public Health Perspective",##bibliography #terrorism #social #determinants #health #cohesion #social #isolation  #archive,A review on how terrorism intersects with the social determinants of health,2022-08-19T00:00:00.0,2022-12-29T19:23:27.075
08232022220130-people-become-terrorists.md,Why Do People Become Terrorists? A Prosecutor's Experiences,#archive #terrorist #motivation #violence,A autobiographical sketch on why a person might become a terrorist,2022-08-23T00:00:00.0,2022-12-29T19:24:12.543
08232022220628-origins-terrorism.md,The Origins Of Terrorism: Cross-country Estimates Of Socio-economic Determinants Of Terrorism,##bibliography #terrorism #socioeconomics #determinants #archive,Brief summary of paper examining socioeconomic impacts or determinants of terroristic ideology,2022-08-28T00:00:00.0,2022-12-29T19:24:16.968
08282022133230-definitions-around-terrorism.md,Definitions Concerning Terrorism,##summary #definition #terrorism #radicalization #fear #violence #archive,A summary note focused on definitions concerning terrorism and,2022-08-28T00:00:00.0,2022-12-29T19:24:23.784
08282022134930-social-determinants-terrorism.md,Social Determinants Surrounding Terrorism,#social #determinants #terrorism #health #violence #archive,Working note on the social determinants of terrorist activity in a vein inspired by the notion of social determinants of health,2022-08-28T00:00:00.0,2022-12-29T19:53:41.624
08282022135955-social-capital.md,Features of Social Capital,##summary #social #capital #risk #terrorism #violence #crime #archive,An overview on what social capital is and how it affects,2022-08-28T00:00:00.0,2022-12-29T19:53:44.555
08282022142544-jihad-definition.md,Overview of What Is Jihad,##summary #jihad #islam #holy #struggle #archive,Short summary on what is jihad and its various understandings,2022-08-28T00:00:00.0,2022-12-29T19:53:54.685
08312022162228-julia-lsp-setup.md,Setting Up Julia LSP for Neovim,##summary #neovim #julia #programming #archive,An explanation of how to setup the Julia LSP for Neovim,2022-08-31T00:00:00.0,2022-12-29T19:54:12.005
09082022131551-systematic-rural-review.md,A Systematic Review of the Health of Vulnerable Populations within US Rural Societies,##bibliography #review #vulnerable #populations #rural #us  #archive,An overview and summary of vulnerable populations that are particular to rural US,2022-09-08T00:00:00.0,2022-12-29T19:55:03.053
09082022132106-spatial-vulnerability-outcomes.md,Spatial exploration of the CDC's Social Vulnerability Index and heat-related health outcomes in Georgia,##bibliography #cdc #social #vulnerability #index #georgia #death #health  #archive,A small article on how the CDC's social vulnerability index was associated with heat-related morbidities in Georgia,2022-09-08T00:00:00.0,2022-12-29T19:55:11.946
09082022132448-covid-systemic-inequity.md,COVID-19 and the other pandemic: populations made vulnerable by systemic inequity,##bibliography #inequity #minorities #covid19 #pandemic #vulnerable  #archive,How the COVID pandemic lead to highlighting vulnerable populations introduced by systemic inequity for healthcare,2022-09-08T00:00:00.0,2022-12-29T19:55:17.012
09082022132720-lgbtq-psychologically-vulnerable.md,LGBTQ Populations: Psychologically Vulnerable Communities in the COVID-19 Pandemic,##bibliography #lgbtq #pandemic #covid19 #mental #health #vulnerable  #archive,A brief report on the risks encountered by LGBTQ communities as a result of the COVID-19 pandemic,2022-09-08T00:00:00.0,2022-12-29T19:55:20.995
09082022144933-social-vulnerability-index.md,Social Vulnerability Index,##summary #metric #social #vulnerability #index #svi #cdc  #archive,"An overview of the metric, Social Vulnerability Index, created by the Centers for Disease Control",2022-09-08T00:00:00.0,2022-12-29T19:55:26.577
09092022205654-streaming-data-scientists.md,Introduction To Streaming for Data Scientists,#archive #data #streaming,What is streaming data and how it can be used in data science and other applications,2022-09-09T00:00:00.0,2022-12-29T19:56:00.068
09162022162129-coproducts-disjoints.md,Coproducts (Disjoint Unions),##summary #category #theory #sets #union #archive,Exploration on the disjoint union of sets.,2022-09-16T00:00:00.0,2022-12-29T19:56:17.092
09172022051900-what-topology.md,What Is a Topological Space?,##summary #algebraic #topology #space #topological #archive,A brief understanding of my knowledge on topological spaces,2022-09-17T00:00:00.0,2022-12-29T19:56:21.339
09202021224748-all-of-us.md,All Of Us Initiative,##dataset #allofus #minority #archive,An overview of the All Of Us Research Dataset and Program,2021-09-20T00:00:00.0,2022-12-29T19:56:36.861
09242021040445-asymptotic-notation.md,Asymptotic Notation,#asymptotic #notation #complexity #bigo #masters #archive,An overview of asymptotic notation and time complexity,2021-09-28T00:00:00.0,2022-12-29T19:58:02.013
09302022033236-family-sets.md,Family of Sets,##summary #set #family #subset  #archive,A simple overview on what a family of sets actually is,2022-09-29T00:00:00.0,2022-12-29T19:58:05.232
09302022040126-indexed-sets.md,Indexed Sets (Or How to Index Sets),#set #theory #index #infinite #finite #interval  #archive,An attempt at understanding what are indexed sets and the various forms index sets can take,2022-09-30T00:00:00.0,2022-12-29T19:58:08.629
10012021003603-data-structures.md,Data Structures,##summary #data #structures #abstract #types #archive,An overview of asymptotic notation and time complexity,2021-09-28T00:00:00.0,2022-12-29T19:58:11.284
10012022184345-learning-lua.md,A Beginner's to Master's Guide in Learning Lua,#archive #lua #quick #start #programming,My notes on learning the Lua programming language,2022-10-01T00:00:00.0,2022-12-29T19:58:36.075
10022022212655-category-zulip-questions.md,Questions for the Category Theory Zulip,##outline  #archive,,2022-10-02T00:00:00.0,2022-12-29T19:58:41.178
10022022214249-understanding-coproducts.md,Clarifying Understanding of Coproducts,#question #zulip #category #theory #coproducts #disjoint #union #set  #archive,A line of questioning to ensure I understand what coproducts and disjoint unions are,2022-10-02T00:00:00.0,2022-12-29T19:58:47.66
10052021221736-abstract-data-types.md,Abstract Data Types,##summary #data #data #abstract #types #archive,An overview and summary on what are abstract data types and what kinds exist,2021-10-05T00:00:00.0,2022-12-29T19:59:00.034
10052021235121-amortized-analysis.md,Amortized Analysis,##summary #complexity #amortized #analysis #archive,An overview of amortized analysis when addressing complexity,2021-10-05T00:00:00.0,2022-12-29T19:59:02.69
10062021162335-ascets-paper.md,Categorical Data Structures for Technical Computing,#bibliography #acsets #graph #theory #category  #archive,"An overview on the applications of category theory to computing; introduces acsets, port graphs, and other applied category theory ideas.",2021-10-06T00:00:00.0,2022-12-29T19:59:09.523
10082020005615-multiscale-entropy.md,Multiscale Entropy,##zettel #statistics #entropy  #archive,Brief synopsis/explanation of what is Multiscale Entropy,2020-10-07T00:00:00.0,2022-12-29T20:10:55.697
10092021131742-advantaged-to-disadvantaged.md,Advantage to Disadvantage - Working Thoughts,#advantage #disadvantage #equity ##thought #race #class #archive,An overview on my current thinking about equity and those who,2021-10-09T00:00:00.0,2022-12-29T20:11:59.66
10152021023937-icu-rating-systems.md,Scoring systems in the intensive care unit: A compendium,##overview #intensive #care #unit #rating #scoring #prediction #quality #care #archive,A note that provides an overview to intensive care unit scoring systems,2021-10-14T00:00:00.0,2022-12-29T20:12:08.81
10152022173643-image-of-sets.md,"Images of Elements, Sets, and Functions",##summary #image #set #function #element #subset #domain #range #archive,"An overview on determining the image of elements, sets, and functions",2022-10-15T00:00:00.0,2022-12-29T20:12:12.236
10262020033701-drwatson-pkg.md,DrWatson.jl,##zettel #julialang #project #management #reproducible #science #archive,DrWatson is a strong tool for encouraging reproducible science and enforces good project management.,2020-10-10T00:00:00.0,2022-12-29T20:12:31.457
10262020041544-apache-arrow.md,Apache Arrow,##zettel #apache #arrow #dataframe #data #storage #format  #archive,Language-agnostic in-memory columnar format for analytical query engines and data frames,2020-10-26T00:00:00.0,2022-12-29T20:12:38.701
10282021140730-real-world-evidence.md,Real-World Data and Real-World Evidence,##summary #real #world #data #evidence #fda  #archive,A summary of what real-world data and evidence is according to the United States Food and Drug Administration,2021-10-28T00:00:00.0,2022-12-29T20:12:45.261
10282022132046-preimage-of-sets.md,"The Preimage of Elements, Sets, and Functions",#archive #sets #preimage #elements #functions,"How the preimage appears in elements, sets, and functions",2022-10-28T00:00:00.0,2022-12-29T20:13:21.92
10312022005339-fiber-product-pullback.md,Fiber Products (Pullbacks),##summary #fiber #product #pullback #category #theory  #archive,An overview on fiber products (aka pullbacks) and their features within category theory,2022-10-30T00:00:00.0,2022-12-29T20:13:57.343
11012021133502-weapons-math-destruction.md,Weapons of Math Destruction,#archive #book #weapon #math #destruction,How algorithms and mathematics can be used to construct active harm across populations,2021-11-01T00:00:00.0,2022-12-29T20:14:56.637
11032021155827-haskell-programming.md,Notes on Programming in Haskell,#syntax ##summary #haskell #programming #languages #archive,My notes on an overview and summary on how to use Haskell,2021-11-03T00:00:00.0,2022-12-29T20:15:16.46
11032021171123-prelude-haskell-library.md,Prelude - Haskell's Standard Library,#library #package #standard #prelude #haskell #programming #archive,An overview of important components from Haskell's standard,2021-11-03T00:00:00.0,2022-12-29T20:15:19.428
11032021180434-functional-programming.md,Functional Programming,#functional #programming #paradigm #archive,An overview on what functional programming is and the,2021-11-03T00:00:00.0,2022-12-29T20:15:23.931
11042022134535-structural-intersectionality.md,Structural Intersectionality as a New Direction for Health Disparities Research,##bibiliography #intersectionality #sociology #medical #equity #disparity #research  #archive,An introduction to intersectionality theory and medical sociological ideas at play within health disparities research,2022-11-04T00:00:00.0,2022-12-29T20:15:27.538
11042022141714-what-intersectionality-theory.md,What Is Intersectionality and Intersectionality Theory?,##summary #intersectionality #theory #health #research #equity  #archive,An overview and summary on what is intersectionality and,2022-11-04T00:00:00.0,2022-12-29T20:15:31.027
11042022160305-structural-racism.md,Structural Racism,#archive,What is structural racism and how it emerges in societies,2022-11-04T00:00:00.0,2022-12-29T20:15:46.249
11052020174635-brain-imaging-structure.md,Brain Imaging Data Structure (BIDS),##zettel #bids #neuroscience #brain #imaging #archive,An overview of the BIDS style for Brain Imaging Data.,2020-11-05T00:00:00.0,2022-12-29T20:27:52.846
11082021225843-pure-functions.md,Pure Functions in Programming,#pure #functions #functional #programming  #archive,An attempted overview on what is meant by pure functions,2021-11-08T00:00:00.0,2022-12-29T20:28:05.857
11132020052431-stereographic-projection.md,Stereographic Projection,##zettel #stereographic #projection #linearalgebra #math #archive,A small note on the stereographic projection method,2020-11-12T00:00:00.0,2022-12-29T20:28:16.297
11302020054820-voxel.md,What are Voxels,##summary #voxel #graphics #data #computer #science #archive,A summary on what voxels are and their applications,2020-11-30T00:00:00.0,2022-12-29T20:28:27.698
11302020054836-sliding-window-analysis.md,Sliding Window Analysis,##zettel #window #analysis #signal #processing #computerscience #algorithm #archive,How sliding window analysis works and is implemented,2020-11-30T00:00:00.0,2022-12-29T20:28:32.584
12092021200612-apcd-cdl.md,Review of the All-Payers Claims Database Common Data Layout,#archive,,2021-12-09T00:00:00.0,2022-12-29T20:28:36.28
12092021203839-types-claims.md,Various Types of Claims Types in the US,#claims #types #archive,,2021-12-09T00:00:00.0,2022-12-29T20:28:48.232
12092021205237-medical-claims-files.md,Medical Claims Files,#medical #claims ##summary #us #archive,A summary overview on what medical claims data are,2021-12-09T00:00:00.0,2022-12-29T20:28:50.967
12092021211642-pharmacy-claims-files.md,Pharmacy Claims Files,#pharmacy #claims ##summary #us #archive,A summary overview on what pharmacy claims data are,2021-12-09T00:00:00.0,2022-12-29T20:28:53.473
12092021212535-dental-claims-files.md,Pharmacy Claims Files,#pharmacy #claims ##summary #us #archive,A summary overview on what pharmacy claims data are,2021-12-09T00:00:00.0,2022-12-29T20:28:55.922
12092021213017-provider-files.md,Provider Files,#provider #files #provider #identifier #location ##summary #archive,An overview of what provider files are,2021-12-09T00:00:00.0,2022-12-29T20:28:59.224
12192020180920-sorting-algorithms.md,Sorting Algorithms,##summary #sorting #algorithms #recursion #computer #science #archive,Sorting algorithms take in an array of unsorted data as input,2020-12-19T00:00:00.0,2022-12-29T20:29:03.148
12192020184137-insertion-sort.md,Insertion Sort,##zettel #insertion #sorting #algorithms  #archive,,2020-12-19T00:00:00.0,2022-12-29T20:29:07.288
12192020184204-merge-sort.md,Merge Sort,##zettel #sorting #algorithms #divide #conquer #merge #archive,,2020-12-19T00:00:00.0,2022-12-29T20:29:10.337
12212020214012-selection-sort.md,Selection Sort,##zettel #selection #sort #algorithms #archive,Selection sort utilizes repeated usages of linear searches to,2020-12-21T00:00:00.0,2022-12-29T20:29:12.95
12212020214025-bubble-sort.md,Bubble Sort,##zettel #bubble #sort #algorithms #archive,,2020-12-21T00:00:00.0,2022-12-29T20:29:15.476
12242022202340-relativity-information-gaps.md,The Analogy between the Relativity of Simultaneity and Information Dissemination,#action #reaction #analogy #relativity #simultaneity #information #archive,A thought on the analogy between the relativity of simultaneity and information dissemination in consideration of Marshall MacLuhan's concept of the 'action and reaction',2022-12-24T00:00:00.0,2022-12-29T20:29:43.589
12242022211924-simultaneity-relativity.md,Relativity of Simultaneity,#physics #relativity #einstein #simultaneity #todo #archive,An overview of Einstein's concept of Relativity of Simultaneity,2022-12-24T00:00:00.0,2022-12-29T20:29:51.338
12262020224653-death-salesman.md,Death of a Salesman,##bibliography #capitalism #classic #fiction #satisfaction ##book ##blog #archive,"A wonderful but scathing critique of the American dream as told from the perspective of a low-income, and at times, lower-middle class, American family with the father eking out an existence as a traveling salesman.",2020-07-26T00:00:00.0,2022-12-29T20:29:55.367
12282020001029-overcoming-dimensionality-neuroscience.md,Data Visualization in the Neurosciences: Overcoming the Curse of Dimensionality,##bibliography #neuroscience #dataviz #curse #dimensionality #visualization #data #science #archive,How to approach the dilemma of visualizing complex data in neuroscience.,2020-12-27T00:00:00.0,2022-12-29T20:30:01.103
12282020003106-dynamic-functional-connectivity.md,Dynamic Functional Connectivity,##zettel #brain #dynamic #functional #connectivity #time #dfc #archive,The brain exhibiting changes to functional activity over time.,2020-12-27T00:00:00.0,2022-12-29T20:30:04.118
12282020003750-functional-mri.md,Functional Magnetic Resonance Imaging,##zettel #imaging #brain #fmri #archive,What is an fMRI or Functional Magnetic Resonance Imaging,2020-12-28T00:00:00.0,2022-12-29T20:30:25.575
12282020004327-functional-connectivity.md,Functional Connectivity,##zettel #brain #activity #functional #archive,Brain activity which occurs between spatially separated,2020-12-27T00:00:00.0,2022-12-29T20:30:28.49
12282020020156-brain-biomarkers.md,Common Biomarkers for the Brain,##zettel #biomarkers #brain #archive,,2020-12-27T00:00:00.0,2022-12-29T20:30:31.129
12282020022324-connectogram.md,What Is a Connectogram?,##zettel #connectogram #brain #neuroscience #dataviz #visualizations #archive,Connectograms visuzalize the complicated data found in,2020-12-27T00:00:00.0,2022-12-29T20:30:34.353
12282020023207-electroencephalographs.md,Electroencephalography,##zettel #archive,What is Electroencephalography?,2020-12-28T00:00:00.0,2022-12-29T20:30:47.796
12282020023843-contact-tracing.md,Contact Tracing,##zettel #cdc #contact #tracing #intervention #archive,Tracking contact between individuals of interest.,2020-12-27T00:00:00.0,2022-12-29T20:30:51.086
12282020152055-income-poverty-pandemic.md,Income and Poverty in the COVID-19 Pandemic,##bibliography #pandemic #covid #economics #poverty #population #survey  #archive,Emerging insights into income and poverty during the COVID-19 pandemic,2020-12-28T00:00:00.0,2022-12-29T20:31:09.416
12282020161201-magnetoencephalography.md,Magnetoencephalography (MEG),##zettel #meg #brain #activity #archive,What Magnetoencephalography is,2020-12-28T00:00:00.0,2022-12-29T20:31:21.384
12282020161408-positron-emission-tomography.md,Positron Emission Tomography (PET),##zettel #archive,What is Positron Emission Tomography (PET) scans,2020-12-28T00:00:00.0,2022-12-29T20:31:37.285
12292020005502-care-computable-phenotypes.md,Why everyone should care about 'Computable Phenotypes',##bibliography #computable #phenotypes #sepsis #lung #informatics  #archive,A brief summary on why this paper was not very useful in discussing computable phenotypes.,2020-12-28T00:00:00.0,2022-12-29T20:31:47.149
12302020172825-flow.md,Flow,##zettel #learning #flow #psychology #archive,What is the concept of flow and being in a flow state,2020-12-30T00:00:00.0,2022-12-29T20:32:01.339
12302020173101-computed-tomography.md,Computed Tomography,##zettel #imaging #tomography #archive,,2020-12-30T00:00:00.0,2022-12-29T20:32:07.427
12302020173322-magnetic-resonance-imaging.md,Magnetic Resonance Imaging,##zettel #imaging #mri #archive,,2020-12-30T00:00:00.0,2022-12-29T20:32:10.69
